AGE,SEX,Lap Belt,Shoulder Belt,Car Seat,Fatal,Serious Injury+,Light Injury+,Minor Injury+,Front Seat,Ejected,Thrown,Year
4,2,0,0,0,0,1,1,1,1,0,0,1975
4,1,0,0,0,1,1,1,1,1,0,0,1975
4,1,0,0,0,0,1,1,1,1,0,0,1975
2,1,0,0,0,0,1,1,1,1,0,0,1975
4,2,0,0,0,0,1,1,1,0,0,0,1975
2,1,0,0,0,0,1,1,1,0,0,0,1975
3,2,0,0,0,0,1,1,1,0,0,0,1975
5,1,0,0,0,0,1,1,1,0,0,0,1975
2,1,0,0,0,0,1,1,1,0,0,0,1975
4,1,0,0,0,1,1,1,1,1,0,0,1975
6,1,0,0,0,1,1,1,1,0,0,0,1975
3,2,0,0,0,0,1,1,1,1,0,0,1975
5,1,0,0,0,0,1,1,1,0,0,0,1975
4,2,0,0,0,1,1,1,1,0,0,0,1975
4,2,0,0,0,0,0,1,1,0,0,0,1975
5,2,0,0,0,1,1,1,1,0,0,0,1975
2,2,0,0,0,0,1,1,1,0,0,0,1975
4,1,0,0,0,0,1,1,1,1,0,0,1975
5,1,0,0,0,0,1,1,1,0,0,0,1975
4,1,0,0,0,0,1,1,1,0,0,0,1975
2,2,0,0,0,0,1,1,1,0,0,0,1975
4,1,0,0,0,1,1,1,1,1,0,0,1975
2,2,0,0,0,1,1,1,1,1,0,0,1975
4,1,0,0,0,0,0,1,1,0,0,0,1975
2,2,0,0,0,0,0,1,1,0,0,0,1975
2,2,0,0,0,0,1,1,1,0,0,0,1975
3,2,0,0,0,1,1,1,1,0,0,0,1975
6,1,0,0,0,0,0,0,1,0,0,0,1975
3,1,0,0,0,1,1,1,1,0,0,0,1975
3,1,0,0,0,1,1,1,1,0,0,0,1975
5,1,0,0,0,0,1,1,1,0,0,0,1975
6,1,0,0,0,0,1,1,1,0,0,0,1975
2,2,0,0,0,1,1,1,1,0,0,0,1975
4,1,0,0,0,1,1,1,1,1,0,0,1975
4,1,0,0,0,0,1,1,1,0,0,0,1975
4,1,0,0,0,1,1,1,1,1,0,0,1975
6,1,0,0,0,0,0,1,1,0,0,0,1975
6,1,0,0,0,0,0,1,1,0,0,0,1975
5,2,0,0,0,0,1,1,1,1,0,0,1975
4,2,0,0,0,0,1,1,1,1,0,0,1975
6,1,0,0,0,0,1,1,1,0,0,0,1975
3,2,0,0,0,0,1,1,1,1,0,0,1975
3,1,0,0,0,0,0,1,1,0,0,0,1975
3,1,0,0,0,0,0,0,1,0,0,0,1975
5,2,0,0,0,0,0,0,1,0,0,0,1975
4,2,0,0,0,0,1,1,1,1,0,0,1975
5,2,0,0,0,0,1,1,1,1,0,0,1975
3,2,0,0,0,1,1,1,1,1,0,0,1975
3,1,0,0,0,1,1,1,1,1,0,0,1975
5,2,0,0,0,0,1,1,1,0,0,0,1975
5,1,0,0,0,0,1,1,1,0,0,0,1975
4,1,0,0,0,0,1,1,1,0,0,0,1975
5,2,0,0,0,0,0,1,1,0,0,0,1975
2,2,0,0,0,0,1,1,1,1,0,0,1975
3,2,0,0,0,0,1,1,1,0,0,0,1975
4,2,0,0,0,0,1,1,1,0,0,0,1975
5,2,0,0,0,1,1,1,1,1,0,0,1975
2,2,0,0,0,0,1,1,1,1,0,0,1975
6,1,0,0,0,0,0,1,1,0,0,0,1975
4,2,0,0,0,0,1,1,1,1,0,0,1975
5,1,0,0,0,0,0,1,1,0,0,0,1975
4,2,0,0,0,0,1,1,1,1,1,1,1975
3,2,0,0,0,1,1,1,1,0,1,1,1975
6,2,0,0,0,1,1,1,1,0,1,1,1975
2,1,0,0,0,0,0,0,1,0,0,0,1975
3,1,1,0,0,1,1,1,1,0,0,0,1975
6,1,0,0,0,0,0,0,0,0,0,0,1975
4,2,0,0,0,0,1,1,1,0,0,0,1975
5,2,0,0,0,0,0,1,1,1,0,0,1975
6,1,0,0,0,0,0,0,0,0,0,0,1975
2,1,0,0,0,0,1,1,1,1,0,0,1975
3,1,0,0,0,0,0,0,0,1,0,0,1975
3,1,0,0,0,1,1,1,1,0,0,0,1975
5,1,0,0,0,0,0,0,0,0,0,0,1975
5,1,0,0,0,0,0,1,1,0,0,0,1975
4,1,0,0,0,0,0,1,1,0,0,0,1975
3,1,0,0,0,0,0,0,0,0,0,0,1975
3,1,0,0,0,0,0,0,0,1,0,0,1975
5,2,0,0,0,0,0,1,1,0,0,0,1975
2,2,0,0,0,1,1,1,1,1,1,1,1975
6,2,0,0,0,0,1,1,1,0,0,0,1975
4,1,0,0,0,0,1,1,1,0,0,0,1975
6,2,0,0,0,0,1,1,1,0,0,0,1975
3,1,0,0,0,0,1,1,1,0,0,0,1975
6,2,0,0,0,1,1,1,1,0,0,0,1975
6,2,0,0,0,0,1,1,1,1,0,0,1975
4,1,0,0,0,0,1,1,1,0,0,0,1975
2,2,0,0,0,0,1,1,1,0,0,0,1975
5,2,0,0,0,0,1,1,1,0,0,0,1975
6,2,0,0,0,0,0,0,0,0,0,0,1975
6,2,0,0,0,0,0,0,0,1,0,0,1975
4,2,0,0,0,0,0,0,0,0,0,0,1975
3,1,0,0,0,0,0,0,0,0,0,0,1975
4,2,0,0,0,0,0,1,1,1,0,0,1975
5,1,0,0,0,1,1,1,1,1,1,1,1975
6,1,0,0,0,0,0,1,1,1,0,0,1975
4,2,0,0,0,0,0,1,1,0,0,0,1975
2,1,0,0,0,0,0,0,0,1,0,0,1975
4,1,0,0,0,0,0,0,0,1,0,0,1975
5,1,0,0,0,0,0,0,0,0,0,0,1975
6,1,0,0,0,0,0,1,1,0,0,0,1975
3,1,0,0,0,0,1,1,1,0,1,1,1975
3,2,0,0,0,0,0,0,0,0,0,0,1975
5,2,0,0,0,0,0,0,0,0,0,0,1975
2,1,0,0,0,0,0,0,1,0,0,0,1975
6,1,0,0,0,0,1,1,1,0,0,0,1975
3,1,0,0,0,1,1,1,1,1,1,1,1975
3,2,0,0,0,0,0,0,1,1,0,0,1975
6,2,0,0,0,0,0,0,0,0,0,0,1975
5,1,0,0,0,0,0,0,0,0,0,0,1975
5,2,0,0,0,0,0,0,0,0,0,0,1975
2,1,0,0,0,0,0,0,0,0,0,0,1975
6,1,0,0,0,0,0,1,1,0,0,0,1975
5,2,0,0,0,0,0,1,1,0,1,1,1975
3,1,0,0,0,0,1,1,1,0,1,1,1975
6,2,0,0,0,1,1,1,1,0,0,0,1975
2,1,0,0,0,1,1,1,1,0,1,1,1975
4,1,0,0,0,1,1,1,1,1,0,0,1975
4,1,0,0,0,1,1,1,1,1,0,0,1975
5,2,0,0,0,0,0,1,1,0,0,0,1975
3,2,0,0,0,0,0,1,1,0,0,0,1975
2,1,0,0,0,1,1,1,1,1,0,0,1975
5,2,0,0,0,0,1,1,1,0,1,1,1975
6,1,0,0,0,0,0,1,1,0,0,0,1975
4,1,0,0,0,0,0,1,1,0,0,0,1975
4,2,0,0,0,0,0,0,0,0,0,0,1975
6,1,0,0,0,0,1,1,1,0,0,0,1975
3,1,0,0,0,0,1,1,1,0,0,0,1975
2,2,0,0,0,0,0,0,1,1,0,0,1975
4,1,0,0,0,1,1,1,1,1,0,0,1975
3,1,0,0,0,0,0,0,0,0,0,0,1975
4,1,0,0,0,0,1,1,1,0,0,0,1975
6,2,0,0,0,1,1,1,1,0,0,0,1975
3,1,0,0,0,1,1,1,1,1,1,1,1975
2,1,0,0,0,0,1,1,1,1,0,0,1975
4,2,0,0,0,1,1,1,1,0,0,0,1975
4,1,0,0,0,0,1,1,1,0,0,0,1975
4,2,0,0,0,0,1,1,1,0,0,0,1975
3,2,0,0,0,0,0,0,0,1,0,0,1975
